boule_1,boule_2,boule_3,boule_4,boule_5,numero_chance
18,21,24,35,36,3
5,14,29,38,48,8
8,26,29,32,38,7
7,13,30,31,47,7
5,16,31,37,41,5
1,15,32,37,39,1
23,25,29,46,49,1
11,27,28,39,41,3
2,12,14,38,47,5
24,39,41,43,48,3
13,19,24,32,43,2
4,16,17,18,30,1
5,19,26,30,33,2
3,10,31,34,47,5
3,4,15,17,41,4
19,22,27,31,49,3
20,21,23,36,38,2
8,15,28,30,48,7
14,32,33,36,49,3
1,12,30,32,34,4
17,35,38,41,46,2
17,18,30,34,39,9
16,21,25,26,31,1
7,18,27,35,48,5
4,8,15,18,46,2
10,17,19,29,41,7
2,3,30,31,37,8
6,15,23,27,43,4
9,17,22,25,49,3
2,12,16,20,26,2
30,37,38,40,43,1
2,12,21,29,33,6
5,22,23,24,25,10
2,21,44,47,48,10
4,10,16,18,22,4
7,39,41,45,48,9
13,16,23,26,46,1
3,19,23,29,33,3
5,6,7,21,36,6
3,23,34,43,47,5
8,10,28,29,47,5
17,28,30,38,45,6
19,28,30,35,48,5
3,9,30,38,42,4
3,19,24,33,45,10
8,13,18,45,48,7
5,14,25,31,42,4
10,22,23,25,46,3
16,17,40,48,49,5
10,12,14,16,18,3
5,12,16,24,35,4
9,10,11,21,22,9
14,16,40,46,47,4
19,20,34,37,40,6
18,24,31,40,49,2
8,9,22,26,30,8
15,20,29,41,47,4
4,14,17,32,44,9
4,16,22,25,36,7
8,17,21,29,35,3
9,14,17,27,33,6
5,20,26,34,39,3
3,32,36,44,47,8
22,23,25,38,42,3
2,9,20,41,49,9
1,11,12,24,37,9
7,11,12,29,41,5
1,4,14,21,24,4
7,10,11,30,42,4
9,25,28,32,36,4
10,18,30,33,39,8
25,27,29,40,45,10
12,13,16,24,34,4
12,26,34,42,49,6
4,5,23,28,31,5
2,13,24,32,39,6
1,7,16,35,36,3
5,17,30,35,36,3
5,13,23,30,31,6
9,29,30,31,40,2
6,15,19,39,43,1
10,21,33,43,47,3
16,17,41,42,49,10
2,3,30,35,44,10
5,9,33,42,45,1
16,20,40,41,49,9
16,28,37,42,47,2
2,14,20,30,49,2
26,32,38,42,43,6
7,10,15,22,25,7
33,34,35,39,44,10
8,9,11,17,41,1
2,14,24,33,34,1
10,13,18,28,36,8
11,13,14,38,46,1
8,13,20,23,27,3
9,14,16,26,33,5
22,28,29,36,47,1
7,10,34,40,45,6
24,26,33,45,46,2
7,17,26,28,45,6
5,11,22,23,24,3
3,8,29,33,37,2
8,9,16,37,45,2
16,27,32,36,48,8
19,23,29,31,45,4
2,3,29,32,49,2
3,17,24,28,33,6
10,24,26,36,40,10
6,7,34,35,45,8
10,25,45,47,48,8
4,5,6,16,35,1
4,29,31,39,49,1
12,24,34,38,43,1
11,17,19,47,49,1
1,9,17,22,43,5
2,11,36,45,49,7
3,5,12,32,40,4
5,10,25,39,47,7
1,10,22,26,30,9
4,6,29,31,45,8
5,10,35,41,44,7
5,17,27,32,44,4
3,11,19,45,46,4
3,21,23,31,32,4
5,10,29,41,47,4
10,18,36,39,47,7
4,28,30,37,44,4
2,25,32,37,47,3
2,10,17,30,32,5
6,28,29,31,41,10
14,17,18,24,49,7
10,21,22,30,42,8
4,17,18,21,26,1
2,24,30,31,36,5
4,25,33,38,44,4
4,15,23,34,39,10
7,12,20,31,40,6
13,21,22,32,42,2
15,20,23,30,49,9
1,2,27,36,40,7
2,8,21,26,27,6
4,5,18,31,45,7
9,31,36,42,47,1
1,10,30,40,44,2
6,15,19,21,38,8
5,18,19,23,49,8
6,10,31,34,43,5
14,15,22,31,48,2
3,13,20,37,41,3
6,22,25,27,30,5
1,9,19,32,44,3
5,18,29,30,43,2
5,9,16,26,33,8
18,19,24,25,45,1
3,34,36,41,45,4
6,20,27,28,37,3
13,36,39,48,49,7
1,22,25,36,45,4
3,18,26,27,41,6
25,32,37,42,46,10
9,19,21,35,49,10
19,25,29,30,38,10
8,10,12,17,18,4
2,3,4,20,28,6
2,5,26,32,44,10
20,25,38,42,44,10
18,20,25,34,49,2
9,13,19,24,36,3
1,2,4,13,39,1
8,19,28,39,42,9
16,21,25,31,44,8
7,9,15,18,19,6
5,12,25,34,38,10
7,30,37,40,45,1
2,18,38,41,45,8
8,13,25,29,36,2
4,11,27,37,39,3
4,25,26,32,38,4
24,33,36,41,45,7
14,32,39,45,49,9
7,10,11,18,49,3
8,30,33,42,43,4
9,12,13,14,18,3
12,31,34,42,43,10
2,6,12,16,24,4
12,13,29,42,49,9
1,32,36,41,46,9
8,9,34,38,47,3
19,37,38,39,42,5
3,5,8,31,42,8
3,6,14,35,36,2
3,15,23,39,45,9
3,5,15,20,35,8
5,8,13,30,48,5
11,16,19,20,32,6
13,27,38,39,40,10
25,31,33,37,40,9
3,10,13,18,47,1
12,16,36,46,47,9
2,13,21,34,38,1
8,14,22,27,30,7
4,5,15,34,45,9
3,4,16,28,38,4
7,12,14,31,41,5
4,11,19,21,41,7
21,29,35,46,47,1
15,14,3,45,12,3
16,32,26,9,20,7
27,6,31,21,40,7
21,10,24,32,16,7
23,24,13,15,39,1
18,2,10,3,11,2
47,28,7,26,30,4
41,13,28,6,4,1
14,28,33,9,8,4
44,11,3,15,17,9
32,5,13,38,46,5
28,30,23,39,25,7
42,23,16,32,28,5
40,3,14,20,34,6
48,42,13,49,6,3
1,37,41,30,23,5
39,44,12,29,2,6
49,26,11,43,42,8
14,8,24,28,5,9
29,48,32,27,44,8
34,46,11,30,36,5
